,단지정보,면적83정보,면적108정보,면적141정보
0,세대수 1070세대(총12개동) 저/최고층 11층/25층,공급/전용 83.82㎡/59.84㎡(전용률 71%),공급/전용 108.07㎡/84.76㎡(전용률 78%),공급/전용 141.84㎡/114.88㎡(전용률 81%)
1,사용승인일 2004년 05월 11일 총주차대수 1357대(세대당 1.26대),방수/욕실수 3개/1개,방수/욕실수 3개/2개,방수/욕실수 4개/2개
2,용적률 300% 건폐율 19%,해당면적 세대수 411세대,해당면적 세대수 395세대,해당면적 세대수 264세대
3,건설사 한신공영(주),현관구조 복도식,현관구조 계단식,현관구조 계단식
4,"난방 개별난방, 도시가스",해당면적 매물 매매 17전세 14월세 6단기 0,해당면적 매물 매매 18전세 12월세 6단기 0,해당면적 매물 매매 13전세 1월세 6단기 0
5,관리사무소 02-963-0480,"매매 7억~8억 5,000 (2,761~3,352만원/3.3㎡)
전세 3억 4,000~4억 2,000(1,341~1,656만원/3.3㎡)
월세 3,000/140~1억 5,000/100
전세가율 40~60%","매매 8억 2,000~9억 7,000 (2,508~2,967만원/3.3㎡)
전세 4억 5,000~6억(1,377~1,835만원/3.3㎡)
월세 300/50~3억 8,000/50
전세가율 46~73%","매매 9억 5,000~11억 (2,214~2,564만원/3.3㎡)
전세 5억 5,000(1,282만원/3.3㎡)
월세 2억/130~3억/140
전세가율 50~58%"
6,"주소
서울시 동대문구 제기동 1212
서울시 동대문구 고산자로 534","관리비 14만 824원
2023년 06월","관리비 19만 9,469원
2023년 06월","관리비 27만 363원
2023년 06월"
7,"면적
83㎡, 108㎡, 141㎡","월평균 관리비 13만 5,902원
하절기평균(6~8월) 관리비 14만 3,014원
동절기평균(12~2월) 관리비 13만 8,800원","월평균 관리비 19만 2,497원
하절기평균(6~8월) 관리비 20만 2,572원
동절기평균(12~2월) 관리비 19만 6,602원","월평균 관리비 26만 914원
하절기평균(6~8월) 관리비 27만 4,569원
동절기평균(12~2월) 관리비 26만 6,478원"
8,,"공시가격 해당면적 최고가 5억 1,100","공시가격 해당면적 최고가 6억 2,900","공시가격 해당면적 최고가 7억 1,000"
9,,"보유세 약 65만 7,810원","보유세 약 85만 9,590원","보유세 약 103만 3,200원"
10,,"재산세 65만 7,810원
종합부동산세 과세대상 아님","재산세 85만 9,590원
종합부동산세 과세대상 아님","재산세 103만 3,200원
종합부동산세 과세대상 아님"
